Agency Name,State,NCES Agency ID,County Name,County #,Total Public Schools 2020-2021,Total Operational Public Schools 2020-2021,State Agency ID,Total Students 2020-2021,FTE Teachers 2020-2021,Total Staff 2020-2021,District #,% Operational Schools 2020-2021
MONTAGUE ISD,Texas,4831200.0,Montague County,48337.0,1.0,1.0,TX-169908,151.0,12.43,22.2,169908,1.0
MONTE ALTO ISD,Texas,4831230.0,Hidalgo County,48215.0,4.0,3.0,TX-108915,891.0,65.82,135.56,108915,0.75
MONTESSORI FOR ALL,Texas,4801442.0,Travis County,48453.0,1.0,1.0,TX-227826,479.0,26.74,60.48,227826,1.0
MONTGOMERY ISD,Texas,4831260.0,Montgomery County,48339.0,11.0,10.0,TX-170903,8920.0,594.82,1049.46,170903,0.9090909090909091
MOODY ISD,Texas,4831290.0,McLennan County,48309.0,5.0,4.0,TX-161910,666.0,61.9,113.54,161910,0.8
MORAN ISD,Texas,4831320.0,Shackelford County,48417.0,1.0,1.0,TX-209902,118.0,13.26,24.07,209902,1.0
MORGAN ISD,Texas,4831380.0,Bosque County,48035.0,1.0,1.0,TX-018903,136.0,15.34,26.74,018903,1.0
MORGAN MILL ISD,Texas,4831410.0,Erath County,48143.0,1.0,1.0,TX-072910,129.0,11.32,18.67,072910,1.0
MORTON ISD,Texas,4831470.0,Cochran County,48079.0,1.0,1.0,TX-040901,374.0,38.44,77.01,040901,1.0
MOTLEY COUNTY ISD,Texas,4831500.0,Motley County,48345.0,1.0,1.0,TX-173901,167.0,16.19,40.89,173901,1.0
MOULTON ISD,Texas,4831560.0,Lavaca County,48285.0,3.0,2.0,TX-143902,286.0,26.92,47.81,143902,0.6666666666666666
MOUNT CALM ISD,Texas,4831620.0,Hill County,48217.0,2.0,2.0,TX-109910,184.0,18.46,35.07,109910,1.0
MOUNT ENTERPRISE ISD,Texas,4831650.0,Rusk County,48401.0,2.0,2.0,TX-201907,403.0,39.89,69.98,201907,1.0
