Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - January 10, 2021, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: January 4, 2021 - January 10, 2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Current Report Period,,,,,Cumulative Reports,,,,
,,,,,,,,,,"School Reported Source
of Infection",,,,,"School Reported Source
of Infection",,
District Name,"District
LEA
Number","Total District
Enrollment as
of October 30,
2020","Approximate
District On Campus
Enrollment as of
October 30, 2020",Campus Name,"Campus
ID","Total School
Enrollment as
of October
30, 2020","On-Campus
Enrollment for
School as of
October 30, 2020","New
Student
Cases","New
Staff
Cases","On
PLEASANTON ISD TOTAL,'007905,3433,2757,,,3433,2757,*,7,*,*,*,*,25,*,*,*
POTEET ISD,'007906,1603,1022,POTEET H S,'007906001,462,305,,,,,,,,,,
POTEET ISD,'007906,1603,1022,ATASCOSA CO JUVENILE UNIT,'007906003,NR,NR,,,,,,,,,,
POTEET ISD,'007906,1603,1022,POTEET J H,'007906041,371,255,,,,,,,,,,
POTEET ISD,'007906,1603,1022,POTEET EL,'007906101,510,294,,,,,,,,,,
POTEET ISD,'007906,1603,1022,POTEET INT,'007906102,260,168,,,,,,,,,,
POTEET ISD,'007906,1603,1022,,"Multiple
Campus",NR,NR,,,,,,6,1,0,7,0
POTEET ISD TOTAL,'007906,1603,1022,,,1603,1022,,,,,,6,1,0,7,0
BELLVILLE ISD,'008901,2238,2147,SPICER ALTER ED CTR,'008901002,NR,NR,,,,,,,,,,
BELLVILLE ISD,'008901,2238,2147,O'BRYANT PRI,'008901101,541,523,,,,,,*,3,*,*,*
BELLVILLE ISD,'008901,2238,2147,O'BRYANT INT,'008901102,292,283,,,,,,*,1,*,*,*
BELLVILLE ISD,'008901,2238,2147,WEST END EL,'008901105,151,150,,,,,,0,2,0,2,0
BELLVILLE ISD,'008901,2238,2147,,"Multiple
Campus",NR,NR,,,,,,2,10,0,3,9
BELLVILLE ISD,'008901,2238,2147,BELLVILLE J H,'008901041,512,487,0,1,0,0,1,9,4,0,4,9
BELLVILLE ISD,'008901,2238,2147,BELLVILLE H S,'008901001,742,704,,,,,,28,5,2,7,24
BELLVILLE ISD TOTAL,'008901,2238,2147,,,2238,2147,0,1,0,0,1,44,25,3,23,43
SEALY ISD,'008902,2816,2522,SEALY EL,'008902104,675,610,*,2,*,*,*,*,7,*,*,*
